paper_number,paper_identifier,source_json_file,experimental_record_count,records_with_experiment_level_source_evidence,records_with_paper_level_provenance_only
1,https://doi.org/10.1016/j.ces.2024.120355,1-s2.0-S0009250924006559-main_extracted.json,3,3,0
2,10.1016/j.ccr.2025.216624,1-s2.0-S0010854525001948-main_extracted.json,1,0,1
3,Electrochimica Acta 533 (2025) 146532,1-s2.0-S001346862500893X-main_extracted.json,3,3,0
4,10.1016/j.fuel.2025.137703,1-s2.0-S0016236125034295-main_extracted.json,8,0,8
5,https://doi.org/10.1016/j.ijheatmasstransfer.2019.06.075,1-s2.0-S0017931019311615-main_extracted.json,5,5,0
6,https://doi.org/10.1016/j.ijheatmasstransfer.2020.119590,1-s2.0-S001793101935642X-main_extracted.json,1,1,0
7,https://doi.org/10.1016/j.ijheatmasstransfer.2021.121080,1-s2.0-S0017931021001836-main_extracted.json,4,4,0
8,https://doi.org/10.1016/j.ijheatmasstransfer.2021.121928,1-s2.0-S0017931021010334-main_extracted.json,1,1,0
9,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122381,1-s2.0-S0017931021014800-main_extracted.json,6,6,0
10,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122395,1-s2.0-S0017931021014940-main_extracted.json,2,2,0
11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,1-s2.0-S0017931022005543-main_extracted.json,12,12,0
12,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123133,1-s2.0-S0017931022006044-main_extracted.json,3,3,0
13,https://doi.org/10.1016/j.ijheatmasstransfer.2025.126663,1-s2.0-S0017931025000043-main_extracted.json,5,5,0
14,https://doi.org/10.1016/j.ijheatmasstransfer.2025.127536,1-s2.0-S0017931025008737-main_extracted.json,2,2,0
15,https://doi.org/10.1016/j.jaerosci.2024.106420,1-s2.0-S0021850224000879-main_extracted.json,2,2,0
16,https://doi.org/10.1016/j.clay.2021.106111,1-s2.0-S0169131721001356-main_extracted.json,2,2,0
17,https://doi.org/10.1016/j.enconman.2019.112071,1-s2.0-S0196890419310775-main_extracted.json,5,5,0
18,https://doi.org/10.1016/j.enconman.2021.114663,1-s2.0-S0196890421008396-main_extracted.json,3,3,0
19,https://doi.org/10.1016/j.enconman.2021.115091,1-s2.0-S019689042101267X-main_extracted.json,12,12,0
20,https://doi.org/10.1016/j.enconman.2025.120133,1-s2.0-S0196890425006570-main_extracted.json,2,2,0
21,https://doi.org/10.1016/j.jhazmat.2019.03.116,1-s2.0-S030438941930398X-main_extracted.json,5,5,0
22,https://doi.org/10.1016/j.jhazmat.2019.06.007,1-s2.0-S0304389419306739-main_extracted.json,4,4,0
23,https://doi.org/10.1016/j.jhazmat.2020.123169,1-s2.0-S0304389420311584-main_extracted.json,1,1,0
24,https://doi.org/10.1016/j.jhazmat.2023.131646,1-s2.0-S0304389423009299-main_extracted.json,1,1,0
