field,nonmissing_count,missing_count,missing_percent
trigger_method,2665,0,0.00
cell_number,2431,234,8.78
ambient_pressure,392,2273,85.29
nominal_capacity,2162,503,18.87
form_factor,2413,252,9.46
SOC,2123,542,20.34
SOH_or_Cycle,1713,952,35.72
cathode,2405,260,9.76
anode,1792,873,32.76
electrolyte,1100,1565,58.72
separator,479,2186,82.03
ambient_environment,2183,482,18.09
mechanical_constraints,2158,507,19.02
sensor_location,2159,506,18.99
heating_power,1322,1343,50.39
heating_rate,717,1948,73.10
target_temp,615,2050,76.92
experimental_procedure_summary,2470,195,7.32
T_vent,407,2258,84.73
T_onset,725,1940,72.80
T_trigger,1164,1501,56.32
T_trigger_definition,1556,1109,41.61
max_temperature,1697,968,36.32
time_to_TR,963,1702,63.86
max_temp_rate,529,2136,80.15
mitigation_strategy,718,1947,73.06
dominant_failure_mechanism,2442,223,8.37
source_evidence,2470,195,7.32
