record_number,paper_number,paper_identifier,group_number_within_paper,group_id,source_evidence,has_section_reference,has_table_reference,has_figure_reference,has_page_reference
1,1,https://doi.org/10.1016/j.ces.2024.120355,1,ARC_25C_Aged,Section 2.3 (ARC protocol); Section 3.3 Thermal Runaway Behavior; Fig. 7 (T1 and T3 values),1,0,0,0
2,1,https://doi.org/10.1016/j.ces.2024.120355,2,ARC_60C_Aged,"Section 2.3 (ARC protocol); Section 3.3 Thermal Runaway Behavior; Fig. 7 (T1=88 °C, T3=628 °C)",1,0,0,0
3,1,https://doi.org/10.1016/j.ces.2024.120355,3,ARC_80C_Aged,"Section 2.3 (ARC protocol); Section 3.3 Thermal Runaway Behavior; Fig. 7 (T1=107 °C, T3=658 °C)",1,0,0,0
4,2,10.1016/j.ccr.2025.216624,1,Hou_222_Overheating_TR_H2Sensor,,0,0,0,0
5,3,Electrochimica Acta 533 (2025) 146532,1,SC_PES_Heating,Section 2.2; Fig. 3b; Fig. 4c; Fig. 5b–c,1,0,0,0
6,3,Electrochimica Acta 533 (2025) 146532,2,SC_NES_Heating,Fig. 3c; Fig. 4d; Fig. 7a–f,0,0,0,0
7,3,Electrochimica Acta 533 (2025) 146532,3,SC_FullCell_Heating,"Fig. 3d–f; Fig. 4e; Fig. 5b,e; Section 4 (Conclusion)",1,0,0,0
8,4,10.1016/j.fuel.2025.137703,1,N2_SOC25,,0,0,0,0
9,4,10.1016/j.fuel.2025.137703,2,N2_SOC50,,0,0,0,0
10,4,10.1016/j.fuel.2025.137703,3,N2_SOC75,,0,0,0,0
11,4,10.1016/j.fuel.2025.137703,4,N2_SOC100,,0,0,0,0
12,4,10.1016/j.fuel.2025.137703,5,CH4_5pct_SOC75,,0,0,0,0
13,4,10.1016/j.fuel.2025.137703,6,CH4_5pct_SOC100,,0,0,0,0
14,4,10.1016/j.fuel.2025.137703,7,CH4_10pct_SOC100,,0,0,0,0
15,4,10.1016/j.fuel.2025.137703,8,CH4_2pct_SOC100,,0,0,0,0
16,5,https://doi.org/10.1016/j.ijheatmasstransfer.2019.06.075,1,Charge_0p5C_15W,Section 3.2.1; Figs. 13–14; text paragraph reporting 337.3 °C for 0.5C,1,0,0,0
17,5,https://doi.org/10.1016/j.ijheatmasstransfer.2019.06.075,2,Charge_1C_15W,Section 3.2.1; Figs. 13–14; text paragraph reporting 404.9 °C for 1C,1,0,0,0
18,5,https://doi.org/10.1016/j.ijheatmasstransfer.2019.06.075,3,Charge_2C_15W,Section 3.2.1; Figs. 13–14; text paragraph reporting 433.1 °C for 2C,1,0,0,0
19,5,https://doi.org/10.1016/j.ijheatmasstransfer.2019.06.075,4,Charge_3C_15W,Section 3.2.1; Figs. 13–14; text paragraph reporting 436.1 °C for 3C,1,0,0,0
20,5,https://doi.org/10.1016/j.ijheatmasstransfer.2019.06.075,5,Charge_4C_15W,Section 3.2.1; Figs. 13–14; text paragraph noting PTC effect and reporting 427.0 °C for 4C,1,0,0,0
21,6,https://doi.org/10.1016/j.ijheatmasstransfer.2020.119590,1,ARC_PouchCell_12Ah,Fig. 1(e)-(f); Section 2.1.2 (ARC tests and TR data analysis); mass–temperature change calculation 91.00 °C to 587.83 °C,1,0,0,0
22,7,https://doi.org/10.1016/j.ijheatmasstransfer.2021.121080,1,EV-ARC_Cell1,Table 1; Section 2.2,1,1,0,0
23,7,https://doi.org/10.1016/j.ijheatmasstransfer.2021.121080,2,EV-ARC_Cell2,Table 1; Section 2.2,1,1,0,0
24,7,https://doi.org/10.1016/j.ijheatmasstransfer.2021.121080,3,EV-ARC_Cell3,Table 1; Section 2.2,1,1,0,0
25,7,https://doi.org/10.1016/j.ijheatmasstransfer.2021.121080,4,Heating_SingleCell_10kW,Fig. 8(d); Sections 2.5 and 4.1,0,0,0,0
26,8,https://doi.org/10.1016/j.ijheatmasstransfer.2021.121928,1,ARC_Test,"Table 4 and associated text in Section 2.2 (parameters T1, T2, T3 obtained by ARC test)",1,1,0,0
27,9,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122381,1,LCO_Air,"Fig. 3a, Fig. 5 (venting and smoke/TR temperatures), Fig. 6 (timings), Fig. 10 (natural luminosity), Section 3.1 and 3.4",1,0,0,0
28,9,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122381,2,LCO_N2,"Fig. 3b, Fig. 5 (venting and smoke/TR temperatures), Fig. 6 (timings), Fig. 10 (no flame in N2), Section 3.1 and 3.4",1,0,0,0
29,9,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122381,3,NMC_Air,"Fig. 3c, Fig. 4 (chemistry comparison), Fig. 5 (venting and smoke/TR temperatures), Fig. 6 (timings), Fig. 10 (flame around vent cap), Section 3.1 and 3.4",1,0,0,0
30,9,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122381,4,NMC_N2,"Fig. 3d, Fig. 5 (venting and smoke/TR temperatures), Fig. 6 (timings), Fig. 10 (no flame in N2), Section 3.1 and 3.4",1,0,0,0
